dataset_number,r_mm_mean,theta_mean,r_mm_std,theta_std,Delta_r_mm,Delta_theta,Delta_t_s,IB_duration_s
0,22.894,2.1657,0.026,0.0093,1.403,-0.0604,0.160,0.320
0,24.297,2.1053,0.053,0.0029,-0.348,-0.1394,0.160,0.160
0,23.950,1.9659,0.070,0.0074,-1.104,-0.2058,0.160,0.280
0,22.846,1.7601,0.057,0.0143,0.828,-0.0975,0.120,0.520
0,23.674,1.6626,0.054,0.0032,-1.555,-0.1560,0.120,0.160
0,22.120,1.5065,0.093,0.0085,1.638,-0.0018,0.120,0.400
0,23.758,1.5047,0.069,0.0016,-0.233,-0.1068,0.120,0.080
0,23.525,1.3979,0.134,0.0058,-2.384,-0.1864,0.240,0.200
0,21.141,1.2115,0.076,0.0099,-1.057,-0.1943,0.200,0.360
0,20.083,1.0172,0.101,0.0142,0.168,-0.1614,0.120,0.320
0,20.252,0.8559,0.000,0.0000,0.184,-0.0204,0.040,0.040
0,20.435,0.8355,0.033,0.0067,0.178,-0.0215,0.040,0.200
0,20.614,0.8139,0.045,0.0012,-3.527,-0.1812,0.240,0.120
0,17.087,0.6327,0.065,0.0090,0.347,-0.1620,0.160,0.160
0,17.433,0.4708,0.104,0.0186,1.302,-0.1768,0.160,0.360
0,18.736,0.2940,0.168,0.0123,-1.685,-0.1895,0.160,0.240
0,17.050,0.1045,0.033,0.0062,-4.116,-0.0100,0.160,0.360
0,12.935,0.0944,0.074,0.0057,2.303,-0.0808,0.080,0.400
0,15.237,0.0136,0.000,-0.0000,0.861,-0.0475,0.120,0.040
0,16.099,-0.0338,0.072,0.0061,-0.781,-0.1984,0.200,0.200
0,15.318,-0.2323,0.040,0.0016,2.557,-0.2445,0.200,0.120
0,17.875,-0.4768,0.001,0.0064,0.598,-0.0375,0.040,0.080
0,18.473,-0.5143,0.000,-0.0000,-1.636,-0.4201,0.280,0.040
0,16.837,-0.9344,0.060,0.0050,4.853,0.1169,0.160,0.120
0,21.690,-0.8175,0.121,0.0003,0.619,-0.0095,0.040,0.080
0,22.309,-0.8270,0.073,0.0006,2.398,-0.0682,0.120,0.080
0,24.707,-0.8952,0.083,0.0011,-2.553,-0.2325,0.200,0.120
0,22.154,-1.1277,0.040,0.0018,1.006,0.0173,0.120,0.240
0,23.160,-1.1103,0.029,0.0045,-3.395,0.4498,0.360,0.120
0,19.765,-0.6606,0.025,0.0028,-8.241,0.0459,0.280,0.120
0,11.525,-0.6146,0.000,-0.0000,-0.608,0.0459,0.040,0.040
0,10.917,-0.5688,0.129,0.0101,-0.687,0.0555,0.040,0.120
0,10.230,-0.5133,0.234,0.0218,-0.426,0.0547,0.080,0.200
0,9.804,-0.4586,0.000,0.0000,-4.039,-0.2472,0.200,0.040
0,5.766,-0.7059,0.157,0.0178,-2.640,-1.0675,0.120,0.280
0,3.125,-1.7734,0.000,-0.0000,0.201,-0.2685,0.040,0.040
0,3.327,-2.0419,0.055,0.0325,0.037,-0.9738,0.200,0.160
0,3.363,-3.0157,0.135,0.0528,4.680,0.1833,0.240,0.360
0,8.044,-2.8324,0.103,0.0055,0.235,-0.0234,0.040,0.080
0,8.279,-2.8558,0.054,0.0118,1.981,-0.0645,0.080,0.280
0,10.260,-2.9203,0.000,-0.0000,0.898,-0.0158,0.040,0.040
0,11.159,-2.9361,0.179,0.0102,4.112,-0.0021,0.200,0.320
0,15.270,-2.9382,0.067,0.0043,2.818,-0.0983,0.120,0.520
0,18.089,-3.0365,0.000,0.0000,1.073,-0.0077,0.080,0.040
0,19.162,-3.0442,0.036,0.0018,0.580,-0.0038,0.040,0.080
0,19.741,-3.0480,0.165,0.0038,2.583,0.0504,0.200,0.400
0,22.324,-2.9975,0.125,0.0039,1.788,0.1532,0.160,0.560
0,24.112,-2.8443,0.217,0.0084,0.776,-0.1405,0.120,0.400
0,24.888,-2.9849,0.122,0.0049,-0.867,-0.0977,0.120,0.080
0,24.020,-3.0826,0.000,-0.0000,-0.157,-0.0074,0.040,0.040
0,23.863,-3.0900,0.118,0.0024,0.971,0.0133,0.080,0.480
0,24.834,-3.0767,0.241,0.0032,-0.260,-0.1331,0.160,0.200
0,24.573,3.0734,0.111,0.0063,-0.187,-0.0067,0.080,0.240
0,24.386,3.0667,0.038,0.0025,0.088,-0.1271,0.200,0.080
0,24.474,2.9396,0.054,0.0081,-0.473,-0.1448,0.120,0.360
0,24.001,2.7948,0.042,0.0147,-0.092,-0.1981,0.120,0.640
0,23.909,2.5967,0.076,0.0249,-0.403,-0.1281,0.200,1.000
0,23.506,2.4686,0.000,-0.0000,0.101,-0.0194,0.040,0.040
0,23.607,2.4492,0.064,0.0048,-1.095,-0.1338,0.160,0.480
0,22.512,2.3154,0.000,-0.0000,0.140,-0.0446,0.040,0.040
0,22.653,2.2707,0.045,0.0121,1.941,-0.0040,0.040,0.440
0,24.594,2.2668,0.000,-0.0000,-0.144,-0.0244,0.040,0.040
0,24.450,2.2424,0.000,-0.0000,-0.239,-0.1115,0.160,0.040
0,24.210,2.1309,0.069,0.0006,-0.071,-0.0174,0.040,0.080
0,24.139,2.1135,0.107,0.0046,-1.256,-0.1628,0.160,0.200
0,22.884,1.9507,0.000,-0.0000,0.082,-0.0456,0.040,0.040
0,22.966,1.9052,0.062,0.0038,0.003,-0.0172,0.040,0.160
0,22.968,1.8880,0.044,0.0057,-1.339,-0.1243,0.120,0.160
0,21.629,1.7637,0.105,0.0110,-1.360,-0.1446,0.160,0.360
0,20.269,1.6191,0.084,0.0097,0.307,-0.1665,0.160,0.280
0,20.577,1.4527,0.099,0.0009,0.084,-0.0083,0.040,0.120
0,20.660,1.4444,0.100,0.0035,-2.186,-0.1768,0.160,0.080
0,18.474,1.2675,0.039,0.0114,-1.829,-0.1814,0.160,0.280
0,16.645,1.0861,0.000,-0.0000,-0.121,-0.0492,0.040,0.040
0,16.524,1.0370,0.079,0.0124,0.782,-0.1907,0.120,0.240
0,17.306,0.8463,0.108,0.0160,0.207,-0.0346,0.040,0.240
0,17.513,0.8117,0.071,0.0046,-1.604,-0.2332,0.200,0.120
0,15.909,0.5785,0.074,0.0112,1.458,-0.1756,0.160,0.160
0,17.366,0.4029,0.111,0.0039,-3.393,-0.2033,0.120,0.160
0,13.974,0.1997,0.040,0.0087,-3.666,0.0350,0.120,0.200
0,10.308,0.2347,0.112,0.0018,0.167,0.0020,0.040,0.080
0,10.475,0.2368,0.000,-0.0000,5.483,-0.2618,0.200,0.040
0,15.959,-0.0250,0.033,0.0065,1.524,-0.1486,0.160,0.080
0,17.483,-0.1736,0.000,0.0000,0.455,-0.0367,0.040,0.040
0,17.938,-0.2103,0.120,0.0050,3.121,-0.2678,0.240,0.160
0,21.059,-0.4781,0.000,0.0000,0.189,-0.0188,0.040,0.040
0,21.247,-0.4969,0.034,0.0015,2.661,0.0776,0.120,0.080
0,23.908,-0.4193,0.192,0.0019,-2.393,-0.1954,0.160,0.280
0,21.515,-0.6148,0.019,0.0039,0.451,-0.2919,0.200,0.160
0,21.966,-0.9067,0.115,0.0211,2.373,-0.1375,0.200,1.800
