dataset_number,r_mm_mean,theta_mean,r_mm_std,theta_std,Delta_r_mm,Delta_theta,Delta_t_s,IB_duration_s
7,24.864,-0.6149,0.149,0.0035,0.222,-0.1115,0.120,0.120
7,25.086,-0.7264,0.000,-0.0000,-0.082,-0.1125,0.120,0.040
7,25.004,-0.8389,0.065,0.0010,0.000,-0.3135,0.280,0.080
7,25.005,-1.1523,0.036,0.0099,-1.434,-0.6379,0.640,0.120
7,23.571,-1.7902,0.000,-0.0000,-0.155,-0.0256,0.040,0.040
7,23.416,-1.8158,0.023,0.0091,2.086,0.2302,0.120,0.120
7,25.502,-1.5856,0.219,0.0060,-2.474,0.2187,0.160,0.200
7,23.028,-1.3669,0.000,-0.0000,1.409,0.0771,0.040,0.040
7,24.437,-1.2899,0.394,0.0245,1.047,0.0361,0.080,0.720
7,25.484,-1.2538,0.090,0.0037,-10.561,-0.4097,0.280,0.360
7,14.923,-1.6635,0.000,-0.0000,-1.040,-0.0509,0.040,0.040
7,13.883,-1.7144,0.239,0.0071,-0.724,-0.0372,0.040,0.120
7,13.159,-1.7516,0.000,0.0000,-0.478,-0.0372,0.040,0.040
7,12.682,-1.7887,0.109,0.0046,-3.126,0.3891,0.240,0.080
7,9.556,-1.3997,0.000,-0.0000,-0.583,0.0834,0.080,0.040
7,8.973,-1.3162,0.000,-0.0000,-0.058,0.0623,0.040,0.040
7,8.915,-1.2539,0.000,-0.0000,4.823,0.4307,0.240,0.040
7,13.738,-0.8232,0.074,0.0121,0.886,0.0491,0.040,0.120
7,14.624,-0.7741,0.121,0.0076,3.580,0.1919,0.200,0.160
7,18.204,-0.5821,0.368,0.0116,3.827,-0.0928,0.120,0.320
7,22.031,-0.6749,0.320,0.0024,1.648,0.2077,0.200,0.360
7,23.679,-0.4672,0.000,-0.0000,0.357,0.0122,0.040,0.040
7,24.036,-0.4550,0.147,0.0030,0.828,-0.0515,0.080,0.240
7,24.863,-0.5065,0.119,0.0015,0.060,-0.0298,0.080,0.200
7,24.924,-0.5363,0.000,-0.0000,-0.124,-0.0091,0.040,0.040
7,24.800,-0.5454,0.089,0.0023,-3.589,-0.2188,0.160,0.080
7,21.211,-0.7642,0.104,0.0075,3.890,-0.0287,0.160,0.360
7,25.101,-0.7930,0.064,0.0036,0.059,-0.0649,0.120,0.120
7,25.160,-0.8579,0.010,0.0023,-0.015,0.0832,0.120,0.080
7,25.145,-0.7747,0.000,-0.0000,-0.352,0.2061,0.200,0.040
7,24.794,-0.5686,0.074,0.0055,-3.001,0.2800,0.240,0.160
7,21.792,-0.2886,0.064,0.0152,-3.445,0.2133,0.200,0.280
7,18.348,-0.0754,0.063,0.0166,-0.145,0.0542,0.040,0.280
7,18.202,-0.0212,0.000,-0.0000,3.957,-0.0266,0.160,0.040
7,22.160,-0.0477,0.000,-0.0000,0.603,0.0205,0.040,0.040
7,22.763,-0.0272,0.163,0.0076,0.935,-0.0609,0.040,0.320
7,23.698,-0.0881,0.068,0.0029,-0.219,0.0098,0.040,0.080
7,23.479,-0.0783,0.000,-0.0000,-0.504,-0.0012,0.040,0.040
7,22.975,-0.0795,0.000,-0.0000,0.812,-0.1987,0.160,0.040
7,23.787,-0.2783,0.165,0.0025,0.570,0.0217,0.080,0.400
7,24.357,-0.2565,0.174,0.0014,0.153,-0.0513,0.080,0.160
7,24.511,-0.3078,0.056,0.0018,0.055,-0.1045,0.120,0.120
7,24.565,-0.4124,0.086,0.0047,0.150,-0.1453,0.120,0.160
7,24.716,-0.5577,0.079,0.0037,0.214,-0.0192,0.040,0.080
7,24.930,-0.5769,0.000,0.0000,0.146,-0.1602,0.160,0.040
7,25.076,-0.7370,0.034,0.0042,0.102,-0.1982,0.280,0.120
7,25.178,-0.9353,0.048,0.0011,-0.019,0.0002,0.080,0.080
7,25.160,-0.9351,0.000,-0.0000,-0.338,-0.2110,0.240,0.040
7,24.822,-1.1461,0.000,-0.0000,0.553,-0.1338,0.200,0.040
7,25.375,-1.2799,0.121,0.0006,-0.018,0.1458,0.120,0.200
7,25.357,-1.1341,0.152,0.0008,-0.569,0.2490,0.240,0.080
7,24.787,-0.8851,0.238,0.0132,-0.884,0.2452,0.160,0.280
7,23.903,-0.6399,0.060,0.0149,-0.058,0.0229,0.040,0.440
7,23.845,-0.6170,0.038,0.0052,1.210,-0.0368,0.040,0.080
7,25.055,-0.6538,0.073,0.0025,-0.193,0.0747,0.120,0.160
7,24.862,-0.5791,0.088,0.0048,-0.046,0.0961,0.120,0.120
7,24.815,-0.4830,0.000,0.0000,-0.558,0.0950,0.120,0.040
7,24.257,-0.3880,0.000,0.0000,0.075,-0.2790,0.240,0.040
7,24.333,-0.6670,0.295,0.0021,0.649,-0.0069,0.040,0.240
7,24.982,-0.6739,0.000,-0.0000,-0.077,-0.0113,0.080,0.040
7,24.904,-0.6852,0.108,0.0039,0.097,-0.0395,0.040,0.120
7,25.001,-0.7247,0.140,0.0031,0.155,-0.0993,0.120,0.160
7,25.157,-0.8240,0.030,0.0024,0.093,-0.0662,0.080,0.080
7,25.250,-0.8902,0.000,-0.0000,0.207,-0.1568,0.160,0.040
7,25.457,-1.0469,0.000,-0.0000,-0.244,-0.2397,0.200,0.040
7,25.213,-1.2866,0.098,0.0105,0.086,-0.4522,0.560,0.280
7,25.299,-1.7388,0.067,0.0072,0.346,-0.0177,0.040,0.120
7,25.645,-1.7566,0.000,-0.0000,-0.369,-0.1210,0.120,0.040
7,25.276,-1.8776,0.000,-0.0000,0.222,-0.3025,0.240,0.040
7,25.498,-2.1801,0.000,-0.0000,0.104,-0.1218,0.120,0.040
7,25.602,-2.3019,0.000,0.0000,-0.463,-0.1139,0.120,0.040
7,25.138,-2.4158,0.000,-0.0000,0.200,-0.0229,0.040,0.040
7,25.339,-2.4387,0.076,0.0040,-3.970,-0.1143,0.200,0.600
7,21.368,-2.5529,0.090,0.0096,4.201,0.0403,0.120,0.320
7,25.569,-2.5127,0.146,0.0034,-5.649,-0.0666,0.240,0.360
7,19.921,-2.5792,0.036,0.0078,-0.172,-0.0001,0.040,0.120
7,19.749,-2.5793,0.103,0.0058,-0.028,0.0136,0.040,0.080
7,19.721,-2.5657,0.030,0.0014,1.789,0.4314,0.240,0.120
7,21.509,-2.1342,0.058,0.0051,-0.098,0.0265,0.040,0.080
7,21.412,-2.1077,0.107,0.0053,2.627,-0.0444,0.080,0.200
7,24.039,-2.1521,0.060,0.0000,-0.105,0.0053,0.040,0.080
7,23.934,-2.1467,0.081,0.0014,-0.445,-0.0181,0.040,0.120
7,23.489,-2.1648,0.000,-0.0000,-2.507,0.2559,0.200,0.040
7,20.981,-1.9089,0.059,0.0063,0.230,0.0409,0.040,0.080
7,21.211,-1.8680,0.037,0.0070,2.990,0.0582,0.160,0.120
7,24.202,-1.8098,0.177,0.0044,1.718,-0.1582,0.120,0.360
7,25.919,-1.9681,0.053,0.0016,-0.443,-0.1101,0.160,0.160
7,25.476,-2.0781,0.120,0.0022,-2.758,-0.1604,0.160,0.240
7,22.718,-2.2385,0.000,-0.0000,0.002,-0.0372,0.040,0.040
7,22.720,-2.2757,0.035,0.0048,2.862,0.0134,0.120,0.200
7,25.582,-2.2623,0.165,0.0067,0.184,0.2176,0.240,0.280
7,25.766,-2.0447,0.070,0.0027,-4.069,0.2260,0.200,0.080
7,21.697,-1.8187,0.053,0.0030,-0.036,0.0454,0.040,0.080
7,21.660,-1.7733,0.149,0.0072,-0.601,0.1047,0.120,0.120
7,21.059,-1.6686,0.000,-0.0000,-0.176,0.0298,0.040,0.040
7,20.883,-1.6388,0.088,0.0031,2.292,0.1565,0.160,0.200
7,23.176,-1.4823,0.072,0.0071,0.332,0.0315,0.040,0.080
7,23.507,-1.4508,0.065,0.0055,2.121,0.0381,0.160,0.160
7,25.628,-1.4127,0.023,0.0063,-0.840,0.2341,0.200,0.120
7,24.788,-1.1786,0.092,0.0140,0.410,0.1128,0.160,0.280
7,25.198,-1.0657,0.026,0.0022,-0.157,0.1251,0.160,0.080
7,25.040,-0.9407,0.060,0.0069,-2.256,0.1710,0.160,0.280
7,22.785,-0.7697,0.064,0.0178,2.275,0.0051,0.080,0.480
7,25.060,-0.7646,0.065,0.0021,-0.341,0.1668,0.160,0.120
7,24.719,-0.5977,0.076,0.0064,-0.360,0.1719,0.200,0.240
7,24.359,-0.4259,0.044,0.0031,-0.195,0.0298,0.040,0.080
7,24.164,-0.3961,0.066,0.0004,-1.582,0.1636,0.120,0.080
7,22.582,-0.2325,0.000,-0.0000,0.058,0.0319,0.080,0.040
7,22.640,-0.2006,0.000,0.0000,-0.145,0.0390,0.040,0.040
7,22.495,-0.1616,0.104,0.0074,-3.589,0.2008,0.200,0.160
7,18.906,0.0392,0.018,0.0061,-0.298,0.0423,0.040,0.080
7,18.608,0.0815,0.096,0.0072,-5.261,0.0787,0.320,0.360
7,13.347,0.1602,0.050,0.0020,3.131,0.3295,0.240,0.160
7,16.479,0.4897,0.197,0.0149,0.631,0.0375,0.040,0.200
7,17.109,0.5273,0.034,0.0020,0.457,0.0182,0.040,0.160
7,17.567,0.5454,0.117,0.0024,-0.636,0.1907,0.120,0.120
7,16.931,0.7361,0.058,0.0169,-2.072,0.2945,0.240,0.440
7,14.859,1.0306,0.061,0.0094,-0.033,0.0368,0.040,0.240
7,14.826,1.0675,0.149,0.0023,-2.657,0.1659,0.120,0.120
7,12.170,1.2334,0.004,0.0130,-0.229,0.0659,0.040,0.080
7,11.941,1.2993,0.047,0.0071,2.585,0.2370,0.200,0.160
7,14.526,1.5363,0.000,-0.0000,0.718,0.0661,0.040,0.040
7,15.244,1.6024,0.203,0.0194,1.575,0.2035,0.200,0.280
7,16.819,1.8058,0.119,0.0099,-1.601,0.2350,0.200,0.280
7,15.218,2.0408,0.042,0.0088,0.054,0.0357,0.040,0.080
7,15.272,2.0765,0.039,0.0038,-1.042,0.1629,0.160,0.080
7,14.230,2.2394,0.000,-0.0000,0.254,0.0837,0.080,0.040
7,14.484,2.3231,0.000,-0.0000,0.113,0.0409,0.040,0.040
7,14.597,2.3640,0.043,0.0116,0.107,0.0385,0.040,0.200
7,14.703,2.4025,0.089,0.0101,-1.053,0.2482,0.160,0.120
7,13.651,2.6506,0.000,0.0000,0.163,0.0558,0.040,0.040
7,13.814,2.7065,0.070,0.0087,0.062,0.0726,0.040,0.120
7,13.876,2.7790,0.094,0.0238,0.053,0.0375,0.040,0.360
7,13.929,2.8166,0.058,0.0067,-1.166,0.2685,0.160,0.400
7,12.763,3.0850,0.005,0.0159,0.210,0.0985,0.040,0.120
7,12.972,-3.0996,0.049,0.0295,-2.306,0.3063,0.160,0.440
7,10.666,-2.7934,0.149,0.0361,-1.636,0.3586,0.160,0.400
7,9.030,-2.4348,0.079,0.0344,-0.018,0.0545,0.040,0.240
7,9.012,-2.3803,0.060,0.0047,3.968,0.0451,0.200,0.200
7,12.980,-2.3351,0.190,0.0078,2.266,0.0563,0.120,0.200
7,15.246,-2.2788,0.000,-0.0000,0.395,0.0099,0.040,0.040
7,15.641,-2.2689,0.000,-0.0000,0.577,0.0189,0.040,0.040
7,16.217,-2.2501,0.128,0.0096,-2.518,0.3288,0.200,0.240
7,13.700,-1.9213,0.117,0.0155,3.462,-0.2315,0.120,0.520
7,17.162,-2.1528,0.000,0.0000,0.778,-0.0052,0.040,0.040
7,17.939,-2.1580,0.073,0.0032,-0.878,-0.2525,0.160,0.200
7,17.062,-2.4105,0.113,0.0032,0.402,-0.0148,0.040,0.080
7,17.464,-2.4253,0.021,0.0005,-5.175,-0.1798,0.160,0.080
7,12.289,-2.6051,0.119,0.0217,-4.816,0.3294,0.240,0.280
7,7.473,-2.2757,0.000,-0.0000,-0.580,0.0043,0.040,0.040
7,6.894,-2.2714,0.002,0.0078,-3.570,-1.0479,0.280,0.080
7,3.324,2.9639,0.000,-0.0000,-0.007,-0.0771,0.040,0.040
7,3.317,2.8868,0.000,0.0000,-0.084,-0.2325,0.040,0.040
7,3.233,2.6544,0.001,0.0083,5.273,-0.4803,0.240,0.080
7,8.507,2.1741,0.194,0.0163,0.790,-0.0674,0.040,0.200
7,9.297,2.1067,0.138,0.0054,-0.069,-0.6375,0.200,0.120
7,9.227,1.4691,0.219,0.0278,5.321,0.2696,0.200,0.280
7,14.548,1.7387,0.000,0.0000,0.647,0.0054,0.040,0.040
7,15.196,1.7441,0.000,-0.0000,0.457,-0.0082,0.040,0.040
7,15.652,1.7359,0.148,0.0078,3.977,-0.1368,0.200,0.160
7,19.629,1.5991,0.000,0.0000,1.442,-0.0202,0.040,0.040
7,21.072,1.5790,0.429,0.0071,-0.519,0.2511,0.200,0.480
7,20.553,1.8300,0.091,0.0091,2.045,0.1849,0.240,0.160
7,22.598,2.0149,0.000,0.0000,0.699,0.0332,0.040,0.040
7,23.297,2.0481,0.111,0.0109,-1.049,0.1640,0.160,0.320
7,22.248,2.2121,0.066,0.0033,2.046,0.1044,0.160,0.120
7,24.294,2.3165,0.000,-0.0000,0.168,0.0402,0.080,0.040
7,24.462,2.3566,0.094,0.0072,0.100,0.1413,0.160,0.240
7,24.562,2.4979,0.121,0.0099,-0.469,0.1496,0.120,0.280
7,24.094,2.6476,0.030,0.0114,0.029,0.0155,0.080,0.240
7,24.123,2.6631,0.000,-0.0000,-0.037,0.0055,0.040,0.040
7,24.086,2.6686,0.044,0.0006,0.427,0.1380,0.120,0.080
7,24.512,2.8066,0.042,0.0105,0.195,0.0269,0.040,0.160
7,24.707,2.8335,0.117,0.0004,-0.461,0.1986,0.120,0.200
7,24.247,3.0321,0.000,-0.0000,0.241,0.0441,0.040,0.040
7,24.488,3.0762,0.072,0.0100,0.042,0.0124,0.040,0.280
7,24.530,3.0886,0.000,-0.0000,-3.377,0.1758,0.200,0.040
7,21.154,-3.0188,0.062,0.0109,1.964,0.0459,0.120,0.200
7,23.118,-2.9728,0.000,0.0000,0.447,0.0006,0.040,0.040
7,23.565,-2.9723,0.090,0.0050,0.279,-0.3121,0.160,0.240
7,23.843,2.9989,0.077,0.0101,0.143,-0.0275,0.040,0.160
7,23.986,2.9714,0.000,0.0000,0.079,-0.0120,0.040,0.040
7,24.065,2.9594,0.037,0.0041,1.050,0.0247,0.080,0.120
7,25.116,2.9840,0.108,0.0019,-7.188,-0.2191,0.320,0.080
7,17.928,2.7650,0.017,0.0010,-0.057,-0.0361,0.040,0.080
7,17.871,2.7288,0.118,0.0065,1.644,-0.1731,0.120,0.080
7,19.515,2.5557,0.000,-0.0000,0.519,-0.0928,0.080,0.040
7,20.034,2.4629,0.081,0.0178,3.494,-0.0306,0.160,0.240
7,23.527,2.4323,0.000,-0.0000,0.669,-0.0118,0.040,0.040
7,24.197,2.4205,0.118,0.0015,-1.462,-0.1644,0.200,0.080
7,22.735,2.2561,0.049,0.0056,0.158,-0.1555,0.160,0.120
7,22.893,2.1006,0.081,0.0100,1.381,-0.0444,0.120,0.240
7,24.274,2.0563,0.168,0.0068,0.248,0.2042,0.120,0.160
7,24.522,2.2605,0.014,0.0007,0.247,0.1149,0.160,0.080
7,24.768,2.3754,0.025,0.0029,-0.196,0.2144,0.160,0.120
7,24.572,2.5897,0.025,0.0074,0.138,0.0392,0.040,0.120
7,24.710,2.6290,0.036,0.0063,0.073,0.2064,0.200,0.160
7,24.783,2.8353,0.054,0.0040,0.238,0.1250,0.120,0.120
7,25.022,2.9603,0.000,-0.0000,0.038,0.1774,0.200,0.040
7,25.060,3.1377,0.000,0.0000,0.022,0.0212,0.040,0.040
7,25.081,-3.1243,0.047,0.0044,-2.594,0.1714,0.200,0.200
7,22.487,-2.9529,0.000,0.0000,0.026,0.0375,0.040,0.040
7,22.513,-2.9154,0.074,0.0103,1.573,0.1313,0.160,0.320
7,24.085,-2.7841,0.000,-0.0000,0.256,0.0339,0.040,0.040
7,24.341,-2.7502,0.072,0.0069,1.116,0.0126,0.080,0.280
7,25.457,-2.7376,0.007,0.0015,-0.904,0.1554,0.120,0.160
7,24.553,-2.5822,0.080,0.0088,0.145,-0.4053,0.240,0.520
7,24.698,-2.9875,0.000,-0.0000,0.318,-0.0411,0.040,0.040
7,25.017,-3.0286,0.062,0.0098,0.243,-0.0900,0.160,0.320
7,25.259,-3.1186,0.000,0.0041,-3.135,-0.1662,0.200,0.080
7,22.124,2.9984,0.000,0.0000,0.050,-0.0318,0.040,0.040
7,22.175,2.9666,0.024,0.0042,0.059,-0.0339,0.040,0.120
7,22.234,2.9328,0.000,-0.0000,-0.208,0.0061,0.040,0.040
7,22.025,2.9389,0.000,0.0000,3.043,-0.0311,0.120,0.040
7,25.068,2.9078,0.141,0.0042,-12.357,0.5040,0.360,0.360
7,12.711,-2.8714,0.219,0.0182,-4.230,-0.3410,0.160,0.240
7,8.481,3.0708,0.000,-0.0000,-0.750,-0.0497,0.040,0.040
7,7.731,3.0211,0.174,0.0167,2.848,-0.6633,0.240,0.120
7,10.579,2.3579,0.000,-0.0000,0.250,-0.0643,0.040,0.040
7,10.829,2.2935,0.026,0.0061,0.222,-0.0441,0.040,0.080
7,11.051,2.2494,0.051,0.0041,4.191,0.0020,0.240,0.080
7,15.243,2.2514,0.000,-0.0000,0.692,-0.0044,0.040,0.040
7,15.934,2.2470,0.280,0.0051,-0.456,-0.3433,0.280,0.360
7,15.479,1.9036,0.000,-0.0000,0.405,-0.0319,0.040,0.040
7,15.883,1.8718,0.066,0.0077,0.640,-0.0446,0.040,0.120
7,16.524,1.8272,0.082,0.0092,3.511,0.0446,0.160,0.080
7,20.034,1.8718,0.228,0.0030,3.814,-0.0020,0.160,0.200
7,23.848,1.8698,0.000,-0.0000,0.417,-0.0028,0.040,0.040
7,24.265,1.8670,0.029,0.0013,-0.400,0.1883,0.120,0.120
7,23.865,2.0553,0.000,-0.0000,0.307,0.0326,0.040,0.040
7,24.172,2.0880,0.069,0.0079,0.109,0.0119,0.080,0.160
7,24.281,2.0998,0.102,0.0091,-4.609,0.1680,0.200,0.400
7,19.672,2.2678,0.000,-0.0000,0.078,0.0384,0.040,0.040
7,19.750,2.3062,0.091,0.0043,2.397,-0.0119,0.040,0.160
7,22.147,2.2943,0.000,-0.0000,2.632,0.0323,0.160,0.040
7,24.779,2.3266,0.070,0.0042,-0.052,0.0543,0.080,0.240
7,24.726,2.3809,0.041,0.0024,-0.071,0.1400,0.160,0.160
7,24.655,2.5208,0.061,0.0032,-0.281,0.0246,0.040,0.080
7,24.374,2.5455,0.000,-0.0000,0.337,0.1831,0.120,0.040
7,24.710,2.7286,0.098,0.0166,-0.002,0.1018,0.080,0.280
7,24.708,2.8304,0.000,-0.0000,0.130,0.0296,0.040,0.040
7,24.838,2.8600,0.015,0.0039,-0.481,0.0152,0.040,0.120
7,24.357,2.8753,0.000,-0.0000,0.409,0.1258,0.120,0.040
7,24.766,3.0011,0.000,-0.0000,0.058,0.0335,0.040,0.040
7,24.823,3.0346,0.053,0.0069,0.173,0.1393,0.200,0.200
7,24.996,-3.1093,0.084,0.0086,0.152,0.1688,0.200,0.160
7,25.148,-2.9405,0.068,0.0024,0.046,0.1090,0.160,0.080
7,25.194,-2.8316,0.121,0.0041,-2.265,0.1917,0.160,0.200
7,22.929,-2.6398,0.087,0.0105,0.327,0.0863,0.120,0.320
7,23.256,-2.5535,0.000,-0.0000,0.354,0.0281,0.040,0.040
7,23.610,-2.5255,0.091,0.0032,0.843,-0.4502,0.280,0.280
7,24.453,-2.9757,0.041,0.0063,0.136,-0.0369,0.040,0.080
7,24.589,-3.0126,0.009,0.0009,-0.017,-0.0332,0.040,0.080
7,24.572,-3.0458,0.097,0.0093,-0.079,-0.0181,0.040,0.240
7,24.494,-3.0639,0.000,0.0000,-1.862,-0.1942,0.160,0.040
7,22.632,3.0251,0.035,0.0131,-3.046,-0.2221,0.240,0.440
7,19.586,2.8030,0.018,0.0062,-0.285,-0.0333,0.040,0.080
7,19.301,2.7697,0.053,0.0025,2.812,-0.1917,0.240,0.080
7,22.113,2.5779,0.000,-0.0000,0.281,-0.0277,0.040,0.040
7,22.394,2.5502,0.047,0.0063,2.522,0.0045,0.120,0.160
7,24.916,2.5547,0.140,0.0027,-0.177,-0.0001,0.040,0.160
7,24.739,2.5546,0.090,0.0021,0.399,0.1464,0.080,0.080
7,25.138,2.7010,0.058,0.0022,-0.018,0.0715,0.120,0.080
7,25.119,2.7724,0.023,0.0030,-0.039,0.1449,0.120,0.120
7,25.081,2.9173,0.051,0.0058,-1.128,0.2165,0.200,0.280
7,23.953,3.1338,0.001,0.0035,0.052,0.0351,0.040,0.080
7,24.005,-3.1143,0.086,0.0099,1.239,-0.0070,0.080,0.200
7,25.244,-3.1214,0.099,0.0011,0.246,0.1290,0.120,0.080
7,25.490,-2.9923,0.040,0.0069,-0.203,0.1360,0.120,0.200
7,25.287,-2.8563,0.122,0.0071,0.203,0.1414,0.160,0.160
7,25.489,-2.7150,0.000,0.0000,-0.194,0.0358,0.040,0.040
7,25.295,-2.6792,0.070,0.0078,0.055,0.1165,0.160,0.320
7,25.350,-2.5627,0.068,0.0063,-0.381,0.1869,0.200,0.320
7,24.970,-2.3758,0.042,0.0085,-0.070,0.0303,0.040,0.160
7,24.900,-2.3456,0.043,0.0024,0.495,0.1518,0.160,0.120
7,25.394,-2.1938,0.042,0.0138,0.035,0.1744,0.160,0.280
7,25.429,-2.0194,0.061,0.0068,0.033,0.1524,0.120,0.120
7,25.462,-1.8670,0.054,0.0042,0.119,0.0364,0.040,0.080
7,25.581,-1.8306,0.000,-0.0000,-0.139,0.1144,0.080,0.040
7,25.443,-1.7162,0.075,0.0124,-0.029,0.2035,0.120,0.200
7,25.414,-1.5127,0.000,-0.0000,-0.103,0.0093,0.040,0.040
7,25.311,-1.5034,0.000,-0.0000,0.060,0.0225,0.040,0.040
7,25.371,-1.4809,0.039,0.0050,-0.049,0.0147,0.040,0.120
7,25.322,-1.4662,0.051,0.0029,-1.265,0.1439,0.160,0.200
7,24.057,-1.3222,0.000,-0.0000,0.113,0.0329,0.040,0.040
7,24.170,-1.2894,0.110,0.0076,1.045,0.1101,0.160,0.240
7,25.215,-1.1793,0.147,0.0031,-0.100,0.0169,0.040,0.080
7,25.116,-1.1624,0.051,0.0007,-1.068,0.1399,0.120,0.080
7,24.048,-1.0225,0.000,-0.0000,0.033,0.0310,0.040,0.040
7,24.081,-0.9914,0.044,0.0073,0.946,0.0613,0.080,0.240
7,25.027,-0.9301,0.000,-0.0000,0.061,0.0136,0.040,0.040
7,25.088,-0.9165,0.000,-0.0000,-0.099,0.1101,0.120,0.040
7,24.989,-0.8064,0.000,-0.0000,-0.367,0.2063,0.160,0.040
7,24.623,-0.6001,0.077,0.0116,-0.175,0.1984,0.200,0.200
7,24.447,-0.4017,0.071,0.0023,-0.104,0.0239,0.040,0.080
7,24.344,-0.3778,0.054,0.0027,-0.052,0.0111,0.040,0.120
7,24.291,-0.3667,0.060,0.0048,0.487,-0.0523,0.080,0.160
7,24.779,-0.4190,0.033,0.0009,-0.306,0.1476,0.160,0.120
7,24.472,-0.2715,0.061,0.0058,0.008,-0.1358,0.080,0.200
7,24.480,-0.4073,0.189,0.0025,0.396,-0.1614,0.120,0.120
7,24.877,-0.5687,0.062,0.0046,-4.462,-0.1761,0.160,0.200
7,20.415,-0.7448,0.096,0.0052,0.222,-0.0167,0.040,0.200
7,20.637,-0.7614,0.011,0.0018,-3.201,-0.0422,0.120,0.080
7,17.436,-0.8037,0.000,-0.0000,-0.334,-0.0277,0.040,0.040
7,17.102,-0.8314,0.103,0.0056,-2.967,0.0270,0.080,0.360
7,14.136,-0.8044,0.000,-0.0000,-0.730,-0.0064,0.040,0.040
7,13.405,-0.8108,0.000,-0.0000,-0.386,-0.0125,0.040,0.040
7,13.020,-0.8233,0.000,-0.0000,-0.709,-0.0153,0.040,0.040
7,12.310,-0.8386,0.148,0.0070,-0.984,-0.2799,0.120,0.280
7,11.326,-1.1185,0.000,0.0000,-0.744,-0.1293,0.080,0.040
7,10.582,-1.2478,0.091,0.0183,-0.087,-0.0637,0.040,0.120
7,10.495,-1.3115,0.062,0.0141,-4.274,-0.3377,0.200,0.240
7,6.220,-1.6492,0.095,0.0171,-0.507,-0.1591,0.040,0.080
7,5.713,-1.8083,0.087,0.0323,-2.407,-0.8871,0.200,0.200
7,3.306,-2.6954,0.019,0.0212,0.150,-0.3570,0.080,0.080
7,3.456,-3.0524,0.044,0.0225,0.146,-0.1145,0.040,0.080
7,3.603,3.1162,0.042,0.0096,-1.140,-2.2098,0.240,0.120
7,2.462,0.9065,0.007,0.0219,0.992,-0.0724,0.040,0.080
7,3.454,0.8341,0.318,0.0265,4.042,0.8317,0.240,0.320
7,7.496,1.6657,0.000,0.0000,0.687,-0.0062,0.040,0.040
7,8.184,1.6596,0.192,0.0056,0.639,0.0098,0.040,0.120
7,8.823,1.6694,0.178,0.0016,1.146,-0.6549,0.200,0.080
7,9.968,1.0146,0.135,0.0141,0.362,-0.4356,0.200,0.200
7,10.330,0.5789,0.000,0.0000,0.612,-0.0551,0.040,0.040
7,10.942,0.5239,0.064,0.0100,3.804,-0.1894,0.240,0.120
7,14.745,0.3345,0.246,0.0098,2.123,0.2591,0.160,0.200
7,16.869,0.5937,0.000,-0.0000,0.785,0.0252,0.040,0.040
7,17.653,0.6189,0.185,0.0049,0.454,-0.0169,0.080,0.200
7,18.107,0.6020,0.000,-0.0000,1.753,-0.2063,0.160,0.040
7,19.861,0.3957,0.171,0.0053,0.180,-0.0088,0.040,0.200
7,20.040,0.3869,0.089,0.0003,-0.497,-0.0117,0.040,0.080
7,19.543,0.3752,0.047,0.0040,0.658,0.0080,0.040,0.080
7,20.202,0.3832,0.055,0.0019,-0.137,-0.2184,0.160,0.160
7,20.064,0.1648,0.187,0.0199,2.720,-0.1073,0.160,0.280
7,22.784,0.0575,0.165,0.0039,0.784,0.1800,0.160,0.320
7,23.568,0.2374,0.000,-0.0000,-2.229,0.2968,0.320,0.040
7,21.339,0.5342,0.037,0.0086,1.544,0.1659,0.160,0.200
7,22.883,0.7001,0.114,0.0178,0.171,0.0336,0.040,0.320
7,23.054,0.7337,0.133,0.0024,-2.502,0.1793,0.160,0.160
7,20.553,0.9131,0.000,-0.0000,-0.024,0.0378,0.040,0.040
7,20.529,0.9509,0.000,-0.0000,0.019,0.0248,0.040,0.040
7,20.548,0.9757,0.000,-0.0000,0.014,0.0128,0.040,0.040
7,20.562,0.9885,0.000,-0.0000,0.499,0.1884,0.200,0.040
7,21.060,1.1769,0.000,-0.0000,0.149,0.0220,0.040,0.040
7,21.209,1.1989,0.000,-0.0000,0.193,0.0218,0.040,0.040
7,21.402,1.2207,0.023,0.0019,0.155,0.0098,0.040,0.080
7,21.558,1.2305,0.000,-0.0000,-0.041,0.0071,0.040,0.040
7,21.517,1.2376,0.015,0.0019,-2.318,0.1701,0.200,0.120
7,19.199,1.4077,0.000,-0.0000,-0.055,0.0438,0.040,0.040
7,19.145,1.4515,0.038,0.0111,1.360,0.1046,0.120,0.160
7,20.505,1.5560,0.000,-0.0000,0.669,0.0418,0.040,0.040
7,21.173,1.5978,0.099,0.0071,1.133,0.0117,0.040,0.240
7,22.306,1.6095,0.000,0.0000,1.066,0.0233,0.080,0.040
7,23.373,1.6328,0.000,0.0000,0.505,0.0138,0.120,0.040
7,23.877,1.6466,0.088,0.0044,-0.979,0.1462,0.200,0.080
7,22.899,1.7927,0.092,0.0052,-0.440,0.1430,0.160,0.200
7,22.459,1.9357,0.020,0.0035,1.822,0.1640,0.200,0.200
7,24.281,2.0997,0.079,0.0084,0.045,0.1421,0.160,0.320
7,24.326,2.2418,0.000,-0.0000,0.045,0.0310,0.080,0.040
7,24.371,2.2728,0.056,0.0046,0.190,0.1549,0.120,0.200
